State,Dowry Deaths,Cruelty by Husband or his relatives,Kidnapping & Abduction of Women,Kidnapping of women for Ransom,Kidnapping & Abduction of Women to compel her for marriage,Kidnapping & Abduction of Women(above 18 yrs) to compel her for marriage  ,Kidnapping & Abduction of Women(below 18 yrs) to compel her for marriage  ,Procuration of Minor Girls,Importation of Girls from foreign country,Human Trafficking,Selling of Minor Girls,Rape (Total),Rape Women (18 Yrs and above),Rape Women (18 Yrs below),Assault on Women with Intent to Outrage her Modesty Total,Assault on Women with Intent to Outrage her Modesty above 18,Assault on Women with Intent to Outrage her Modesty below 18,Insult to the Modesty of Women Total,Insult to the Modesty of Women above 18,Insult to the Modesty of Women below 18
Andhra Pradesh,111,6579,537,1,104,33,71,54,0,71,0,1107,520,587,4888,4375,513,2371,2338,33
Arunachal Pradesh,0,70,48,0,5,3,2,2,0,3,0,63,34,29,76,73,3,3,3,0
Assam,150,11413,5915,13,2984,2638,346,1055,0,100,1,1658,1640,18,4654,4640,14,90,90,0
Bihar,1047,1936,6747,0,5378,2620,2758,0,0,24,1,806,805,1,587,544,43,6,6,0
Chhattisgarh,71,674,1357,2,245,6,239,0,0,34,0,1212,1199,13,1640,1559,81,279,272,7
Goa,0,8,33,0,0,0,0,0,0,29,0,61,19,42,71,61,10,35,33,2
Gujarat,7,3345,603,3,395,31,364,0,0,6,2,486,486,0,852,835,17,18,18,0
Haryana,251,4122,2449,3,973,839,134,789,0,9,1,1373,1373,0,2339,2339,0,183,183,0
Himachal Pradesh,1,259,284,0,193,14,179,1,0,0,0,332,135,197,541,471,70,88,88,0
Jharkhand,280,882,995,8,520,413,107,231,0,48,1,1326,1210,116,1361,1297,64,6,6,0
Karnataka,178,2092,951,1,52,24,28,26,0,32,0,507,507,0,5248,5242,6,71,71,0
Kerala,6,2736,152,0,48,6,42,5,0,72,0,647,647,0,3971,3340,631,454,419,35
Madhya Pradesh,627,5540,4990,3,1043,84,959,32,0,45,4,2341,2331,10,5431,5304,127,200,189,11
Maharashtra,197,6749,5332,0,526,78,448,50,0,242,0,2065,2065,0,10007,10007,0,969,969,0
Manipur,1,7,49,0,19,15,4,23,1,2,0,32,30,2,61,60,1,8,8,0
Meghalaya,1,17,29,0,1,1,0,15,0,0,0,67,66,1,86,76,10,18,18,0
Mizoram,0,7,1,0,0,0,0,0,0,0,0,33,18,15,26,26,0,3,3,0
Nagaland,1,2,6,0,0,0,0,0,0,0,0,4,3,1,7,7,0,2,2,0
Odisha,320,3659,3775,3,194,102,92,10,0,69,0,1211,1194,17,12641,12641,0,615,615,0
Punjab,63,1271,1260,0,1217,233,984,0,0,2,0,504,442,62,732,714,18,29,29,0
Rajasthan,480,13896,4766,4,1156,750,406,11,0,2,0,5337,4058,1279,8690,7672,1018,86,77,9
Sikkim,0,1,13,0,0,0,0,0,0,0,0,13,9,4,19,18,1,0,0,0
Tamil Nadu,40,702,653,4,476,335,141,82,0,13,0,390,390,0,907,885,22,31,30,1
Telangana,175,7745,1341,2,292,74,218,46,0,72,0,765,765,0,4928,4775,153,701,678,23
Tripura,23,358,110,0,54,13,41,17,0,0,0,79,79,0,118,117,1,3,2,1
Uttar Pradesh,2302,14533,9257,6,7830,4887,2943,1,0,7,0,2796,2590,206,9903,8639,1264,28,19,9
Uttarakhand,65,669,350,1,64,17,47,0,0,5,0,487,482,5,474,448,26,43,43,0
West Bengal,523,19966,7805,5,852,205,647,30,0,29,2,1128,1128,0,2784,2784,0,446,445,1
A&N Islands,0,2,1,0,0,0,0,0,0,2,0,2,2,0,15,15,0,3,3,0
Chandigarh,1,96,92,0,19,0,19,0,0,2,0,60,14,46,43,32,11,4,4,0
D&N Haveli and Daman & Diu,1,4,0,0,0,0,0,0,0,1,0,4,4,0,6,6,0,3,3,0
Delhi,112,2591,3009,0,2,1,1,0,0,22,0,997,997,0,1841,1841,0,418,418,0
Jammu & Kashmir,9,349,783,0,456,440,16,0,0,0,0,247,244,3,1766,1733,33,35,35,0
Ladakh,0,3,0,0,0,0,0,0,0,0,0,2,1,1,4,4,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,1,1,0
Puducherry,2,9,0,0,0,0,0,0,0,0,0,8,8,0,25,25,0,0,0,0
TOTAL ,7045,112292,63693,59,25098,13862,11236,2480,1,943,12,28153,25498,2655,86745,82608,4137,7250,7118,132
